id,Год рождения,Пол,Время 1,Общее время,Время 2,Зрение
1,2003,ж,21,1623,17,0
2,2004,ж,65,1563,29,0
3,2004,ж,44,2409,25,0
4,2003,ж,73,1927,30,-1.5
5,1975,ж,120,1322,81,0
6,1982,ж,75,1153,49,0.75
7,1984,ж,76,1572,57,-2.5 и -3.75
8,1994,ж,53,1531,36,-0.5
9,1962,ж,241,1875,172,-2.5
10,2002,ж,85,1581,49,0
11,1976,ж,85,1514,36,1.5
12,1987,ж,57,1456,43,0
13,2003,м,74,1644,39,-1
14,1977,ж,84,1402,58,0
15,1968,ж,91,1184,61,-1
16,1976,м,89,1563,53,-2
17,1977,ж,62,1733,46,-0.5
18,1976,м,79,1682,44,1
19,1976,ж,46,1605,30,1
20,1963,м,106,1743,80,-1.5
21,2004,ж,50,1835,32,-3.25 и 1
22,1960,м,95,4741,38,2
23,1965,ж,85,7703,56,1
24,1955,м,156,7005,68,-2
25,1964,ж,75,4257,51,2
